gene,control_rep3,exp_rep3,control_rep1,exp_rep2,control_rep2,exp_rep1
ENSG00000290825.1,0,1,0,3,0,2
ENSG00000223972.6,0,0,0,0,0,0
ENSG00000227232.6,220,212,150,200,146,164
ENSG00000278267.1,2,0,0,0,0,0
ENSG00000243485.5,2,1,2,4,1,4
ENSG00000284332.1,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,0,0
ENSG00000268020.3,0,0,0,0,0,0
ENSG00000290826.1,0,0,0,0,0,0
ENSG00000240361.3,0,0,0,0,0,0
ENSG00000186092.7,0,0,0,0,0,0
ENSG00000238009.7,1,3,1,0,2,2
ENSG00000239945.1,0,0,0,0,0,0
ENSG00000233750.3,10,4,3,9,5,6
ENSG00000268903.1,73,57,56,70,45,54
ENSG00000269981.1,48,44,39,41,22,27
ENSG00000239906.1,0,1,1,2,2,0
ENSG00000241860.7,23,22,35,37,16,36
ENSG00000222623.1,0,0,0,0,0,0
ENSG00000241599.1,0,0,0,0,0,0
ENSG00000279928.2,0,0,0,0,0,0
ENSG00000279457.4,119,113,99,121,72,100
ENSG00000273874.1,0,0,0,0,0,0
ENSG00000292994.1,34,27,31,31,24,22
ENSG00000228463.11,0,0,0,0,0,0
ENSG00000286448.1,0,0,0,0,0,0
ENSG00000236679.2,0,1,0,1,0,0
ENSG00000236601.2,0,0,0,0,0,0
ENSG00000290385.1,41,25,31,64,30,41
ENSG00000269732.1,0,0,0,0,0,0
ENSG00000284733.2,0,0,0,0,0,0
ENSG00000237094.13,0,0,0,0,0,0
ENSG00000233653.3,0,0,0,0,0,0
ENSG00000250575.1,0,0,0,0,0,0
ENSG00000278757.1,0,0,0,0,0,0
ENSG00000293331.1,18,9,14,13,5,21
ENSG00000235146.2,0,0,0,0,0,0
ENSG00000225972.1,1626,2070,1478,1682,1018,1577
ENSG00000225630.1,993,1203,788,1075,755,1034
ENSG00000237973.1,543,555,374,509,364,467
ENSG00000278791.1,0,0,0,0,0,0
ENSG00000229344.1,45,80,25,53,31,39
ENSG00000240409.1,0,2,1,0,1,1
ENSG00000248527.1,4660,5787,4425,4623,3331,4201
ENSG00000198744.5,67,113,63,85,43,56
ENSG00000268663.1,0,0,0,0,0,0
ENSG00000284662.2,0,0,0,0,0,0
ENSG00000230021.11,0,0,0,0,0,0
ENSG00000229376.3,3,1,0,1,2,4
ENSG00000291215.1,126,88,112,151,110,129
ENSG00000223181.1,0,0,0,0,0,0
ENSG00000229905.1,0,0,0,0,0,0
ENSG00000228327.6,0,0,0,0,0,0
ENSG00000237491.10,25,23,20,26,17,27
ENSG00000285268.1,0,0,0,0,0,0
ENSG00000290784.1,3,4,3,6,4,5
ENSG00000230092.8,0,0,0,0,0,0
ENSG00000177757.2,5,4,2,4,1,6
ENSG00000225880.6,42,50,52,47,29,31
ENSG00000228794.12,2649,2109,1996,2288,1751,2359
ENSG00000288531.1,0,2,1,3,0,3
ENSG00000230368.2,2,1,1,4,1,1
ENSG00000234711.1,0,0,1,1,0,0
ENSG00000283040.1,1,0,0,1,0,1
ENSG00000272438.1,28,28,21,30,22,27
ENSG00000230699.2,119,134,104,133,102,102
ENSG00000241180.1,4,4,0,1,2,1
ENSG00000223764.2,128,124,75,109,88,81
ENSG00000187634.13,131,148,90,53,93,59
ENSG00000188976.11,14225,13440,11020,11209,10656,11524
ENSG00000187961.15,383,341,343,411,258,361
ENSG00000187583.11,141,126,116,143,103,149
ENSG00000187642.10,0,0,3,0,3,2
ENSG00000272512.1,23,25,16,42,21,22
ENSG00000188290.11,554,713,450,426,438,366
ENSG00000187608.10,848,581,614,501,588,493
ENSG00000231702.2,2,0,1,0,0,0
ENSG00000224969.1,12,8,6,9,4,12
ENSG00000188157.15,68225,69113,51916,58940,50969,60960
ENSG00000242590.1,0,0,0,0,0,0
ENSG00000291156.1,68,64,82,71,63,80
ENSG00000273443.1,1,4,3,2,7,4
ENSG00000217801.13,6,10,14,11,5,10
ENSG00000237330.3,35,42,41,41,32,30
ENSG00000131591.18,1128,1227,846,911,831,884
ENSG00000285812.1,12,11,17,26,7,14
ENSG00000223823.1,0,0,1,0,0,0
ENSG00000207730.3,0,0,0,0,2,0
ENSG00000207607.3,2,0,0,0,0,0
ENSG00000198976.1,0,1,5,1,0,0
ENSG00000272141.1,10,8,9,7,5,5
ENSG00000205231.1,14,11,17,11,14,2
ENSG00000162571.14,23,9,19,12,14,14
ENSG00000186891.14,5,3,6,2,6,1
ENSG00000186827.12,6,3,3,2,2,1
ENSG00000078808.20,12394,12066,9515,11091,8868,10421
ENSG00000176022.7,3234,3260,2573,2700,2456,2746
ENSG00000184163.3,28,42,29,27,29,25
ENSG00000260179.1,8,13,11,4,3,9
ENSG00000160087.21,4025,3920,3090,3538,2878,3397
ENSG00000230415.1,9,4,8,6,5,3
ENSG00000162572.21,72,60,60,48,39,42
ENSG00000131584.19,2939,2544,2382,2537,2253,2332
ENSG00000278073.1,0,0,0,0,0,0
ENSG00000169972.13,1179,1177,826,913,863,842
ENSG00000127054.22,6024,5568,4640,4884,4423,4567
ENSG00000283712.1,0,0,0,0,0,0
ENSG00000240731.1,30,40,47,60,36,51
ENSG00000224051.7,1451,1469,1028,1073,1137,1165
ENSG00000169962.5,26,23,13,21,26,18
ENSG00000107404.21,3874,3686,3037,3327,3028,3004
ENSG00000284372.1,0,0,0,0,0,0
ENSG00000162576.17,2485,2037,1921,1188,1945,1127
ENSG00000175756.14,5064,5235,3772,3790,3720,3793
ENSG00000223663.2,0,0,1,1,0,8
ENSG00000221978.13,3066,2565,2614,3320,2076,2747
ENSG00000224870.9,1597,1344,1240,1374,1060,1253
ENSG00000242485.6,5252,4950,3951,4324,3604,4424
ENSG00000264293.2,0,0,0,0,0,0
ENSG00000272455.1,187,145,146,192,138,167
ENSG00000235098.9,678,612,509,443,439,439
ENSG00000225905.1,9,9,9,8,5,7
ENSG00000205116.4,187,135,149,114,111,146
ENSG00000225285.1,51,55,50,57,36,43
ENSG00000179403.12,4995,5514,3807,4660,3702,4796
ENSG00000215915.10,94,69,67,124,47,91
ENSG00000160072.20,2030,1838,1519,1625,1491,1596
ENSG00000290916.1,2,2,0,2,1,0
ENSG00000284740.3,0,0,0,0,0,0
ENSG00000197785.14,4053,3941,3000,2811,2874,3005
ENSG00000205090.10,132,139,98,81,92,65
ENSG00000160075.12,9328,8671,7171,7624,6563,8005
ENSG00000215014.5,63,51,37,31,35,53
ENSG00000274481.1,0,0,0,0,0,0
ENSG00000228594.4,754,658,536,445,521,462
ENSG00000286989.1,6,8,9,8,6,9
ENSG00000272106.1,175,196,134,160,136,160
ENSG00000197530.13,1625,1735,1262,1398,1182,1374
ENSG00000189409.14,2,5,4,0,3,1
ENSG00000248333.9,3231,2696,2535,2558,2256,2530
ENSG00000272004.1,1,4,3,0,3,3
ENSG00000189339.12,8639,7135,6882,8047,6218,7367
ENSG00000293187.1,67,54,72,87,53,80
ENSG00000269737.3,30,18,31,45,20,21
ENSG00000215914.4,2,0,1,1,0,1
ENSG00000008128.23,212,145,150,212,126,147
ENSG00000268575.1,178,140,158,135,97,142
ENSG00000293188.1,230,159,194,212,128,202
ENSG00000290854.1,202,136,132,143,122,137
ENSG00000215790.9,0,0,0,0,0,0
ENSG00000227775.4,0,0,0,0,0,0
ENSG00000008130.15,5561,4851,4480,5021,4031,4419
ENSG00000078369.19,48640,42896,41086,41117,34513,40798
ENSG00000231050.3,16,13,8,9,7,12
ENSG00000169885.10,6,5,1,11,2,7
ENSG00000178821.13,234,248,178,168,161,167
ENSG00000142609.20,40,34,28,18,25,24
ENSG00000233542.2,0,0,0,0,0,0
ENSG00000187730.9,0,2,2,3,1,0
ENSG00000226969.1,2,2,1,1,2,1
ENSG00000067606.17,3819,3293,2981,3025,2782,3286
ENSG00000271806.1,1,4,0,3,6,0
ENSG00000182873.5,248,218,193,223,157,182
ENSG00000162585.17,3055,3151,2255,2231,2314,2242
ENSG00000234396.3,0,0,0,0,0,0
ENSG00000157933.11,6421,5887,5198,5230,4508,5119
ENSG00000287356.1,105,82,57,89,59,57
ENSG00000116151.14,411,312,371,364,282,419
ENSG00000272161.1,0,1,0,2,0,0
ENSG00000292993.1,206,151,151,156,132,118
ENSG00000269896.3,0,0,0,0,0,0
ENSG00000272420.1,4,9,4,4,7,2
ENSG00000157916.20,6275,5778,5285,5972,4615,5876
ENSG00000157911.11,1495,1470,1178,1175,1176,1292
ENSG00000149527.18,29,13,20,15,16,13
ENSG00000224387.1,0,0,0,0,0,0
ENSG00000229393.1,0,0,0,3,0,0
ENSG00000157881.16,2017,1638,1487,1496,1373,1523
ENSG00000197921.6,1,2,1,2,0,0
ENSG00000272449.3,37,32,22,23,16,20
ENSG00000238164.6,4,0,0,1,1,0
ENSG00000157873.18,44,37,31,33,23,35
ENSG00000225931.3,7,3,4,10,7,7
ENSG00000228037.1,6,3,1,8,3,6
ENSG00000289610.2,1,2,0,3,0,2
ENSG00000157870.17,3482,3607,2861,3043,2632,2975
ENSG00000142606.16,0,0,0,0,0,0
ENSG00000237058.1,0,0,0,0,0,0
ENSG00000215912.13,0,0,0,0,0,0
ENSG00000285945.1,0,0,0,0,0,0
ENSG00000283259.1,0,0,0,0,0,0
ENSG00000233234.1,0,0,0,0,0,0
ENSG00000287396.1,0,0,0,0,0,0
ENSG00000231630.1,0,0,0,0,0,0
ENSG00000284745.1,0,0,0,0,0,0
ENSG00000169717.7,2,0,1,0,4,1
ENSG00000177133.14,893,811,652,648,647,582
ENSG00000142611.17,4228,3145,3436,3192,3170,3087
ENSG00000283572.1,0,0,0,1,0,0
ENSG00000226286.1,2,4,0,7,6,4
ENSG00000279839.1,1,2,3,2,0,1
ENSG00000272235.1,18,16,8,13,13,7
ENSG00000287828.1,20,27,26,15,14,15
ENSG00000286518.1,8,7,6,0,4,6
ENSG00000130762.15,2692,2446,2146,2474,1946,2414
ENSG00000272088.1,3,10,5,6,5,5
ENSG00000162591.17,5885,6371,4538,5000,4525,5093
ENSG00000207776.1,0,0,0,1,0,0
ENSG00000238260.3,7,10,8,10,2,14
ENSG00000158109.15,7707,6878,6233,6516,5709,6349
ENSG00000116213.16,1530,1619,1303,1654,1106,1434
ENSG00000078900.16,112,102,102,114,78,93
ENSG00000227589.1,2,1,3,1,5,0
ENSG00000235131.1,0,0,0,0,0,0
ENSG00000293478.1,1822,1635,1641,1671,1270,1504
ENSG00000276189.1,0,0,0,0,0,0
ENSG00000227372.13,0,0,0,0,0,0
ENSG00000162592.10,15,10,10,9,8,10
ENSG00000235169.11,168,159,105,91,104,120
ENSG00000130764.10,6074,5664,4914,5303,4288,4889
ENSG00000266075.2,5,4,1,5,1,5
ENSG00000272153.1,26,24,18,28,21,23
ENSG00000116198.14,3364,2719,2770,3041,2534,3001
ENSG00000169598.17,1070,976,886,1048,834,999
ENSG00000198912.12,2040,1846,1626,1941,1322,1717
ENSG00000236423.8,19,33,27,43,19,40
ENSG00000233304.7,0,0,0,0,0,0
ENSG00000226374.3,0,0,0,0,0,0
ENSG00000284668.2,0,0,1,0,0,0
ENSG00000284703.1,0,0,0,0,0,0
ENSG00000229280.1,0,0,0,0,0,0
ENSG00000235054.4,0,0,0,0,0,0
ENSG00000284694.1,0,0,0,0,0,0
ENSG00000227169.2,0,0,0,0,0,0
ENSG00000232596.3,0,0,0,0,0,0
ENSG00000196581.11,40,44,42,43,32,26
ENSG00000287586.1,0,1,0,1,1,0
ENSG00000284739.1,0,0,1,0,0,0
ENSG00000284674.1,0,0,0,0,0,0
ENSG00000231510.1,0,0,0,0,0,0
ENSG00000284616.1,0,0,0,2,0,0
ENSG00000284692.2,0,0,0,0,0,0
ENSG00000284666.1,0,0,0,0,0,0
ENSG00000260972.1,0,0,0,0,0,0
ENSG00000283356.1,0,0,0,0,0,0
ENSG00000236948.2,1,1,0,2,0,0
ENSG00000264341.1,0,0,0,0,0,0
ENSG00000289893.1,0,0,2,1,0,0
ENSG00000264101.1,0,0,0,0,0,0
ENSG00000131697.18,920,778,835,809,633,717
ENSG00000069424.16,362,305,256,210,259,177
ENSG00000116254.18,14,10,14,13,13,12
ENSG00000285629.1,0,2,0,0,0,0
ENSG00000116251.11,21588,17329,17200,18164,15829,20625
ENSG00000226944.1,26,38,21,20,20,13
ENSG00000158286.13,301,221,272,346,182,271
ENSG00000116237.16,16502,14516,14025,14838,12406,15473
ENSG00000225077.3,52,39,38,32,41,24
ENSG00000173673.9,1,0,0,0,0,0
ENSG00000158292.7,961,968,788,659,633,633
ENSG00000097021.21,8531,9527,6611,6483,6024,6859
ENSG00000271746.1,1,2,4,7,2,0
ENSG00000069812.11,512,515,445,626,353,550
ENSG00000187017.18,916,1000,796,1044,679,1139
ENSG00000265392.1,0,0,0,0,0,0
ENSG00000231868.1,0,0,1,1,0,0
ENSG00000215788.11,268,217,235,268,160,216
ENSG00000171680.23,2156,1919,1751,1809,1585,1697
ENSG00000162408.11,2026,1515,1954,1899,1662,1670
ENSG00000253022.1,0,0,0,0,1,0
ENSG00000229519.2,1,0,1,0,1,2
ENSG00000173662.21,6,2,2,2,1,2
ENSG00000204859.13,1052,926,795,756,684,776
